name,universeId,placeId,link,genre,allowedGearGenres,isGenreEnforced,isAllGenre,playing,visits,favoritedCount,gameRating
👮Police Tycoon!,1139548965,3156763127,web.roblox.com/games/3156763127,All,All,True,True,1,3190418,14563,
Guerra de Torres,913548071,2556187419,web.roblox.com/games/2556187419,Fighting,Ninja,True,False,1641,41464816,111550,
Fidget Trading,2731352872,7077719354,web.roblox.com/games/7077719354,All,All,True,True,52,1940788,12108,
GUNGUN,2831098672,7259217595,web.roblox.com/games/7259217595,All,All,True,True,0,90,2,
YGO: Modern Academia!,1270785425,3630692047,web.roblox.com/games/3630692047,All,All,True,True,48,3075847,26699,
Gun Testing,2003150233,5677235417,web.roblox.com/games/5677235417,FPS,FPS,True,False,7,2350112,37290,
[CODE!!!] Murder Mystery X,1310533023,3807433947,web.roblox.com/games/3807433947,All,All,True,True,724,9818879,37573,
[SCP] TASK FORCE,1890626536,5400959086,web.roblox.com/games/5400959086,All,All,True,True,122,5190806,102051,
Murder Madness,2385652712,6414080193,web.roblox.com/games/6414080193,All,All,True,True,63,11415176,66174,
Walls Jump per Difficulty Chart Obby Horus Mome,2543102965,6726248516,web.roblox.com/games/6726248516,All,All,True,True,6,200967,1858,
Ride Down A Rainbow Slide!,2852629495,7308796550,web.roblox.com/games/7308796550,Adventure,Adventure,True,False,72,1047853,3167,
UPD 🌈 Murder Mystery 3 | (20% OFF SALE),2268113914,6192491122,web.roblox.com/games/6192491122,All,All,True,True,9,1417619,12131,
Siren Head 2 : The Facility,1635428288,4827405577,web.roblox.com/games/4827405577,Horror,Scary,True,False,0,2951087,7126,
Master's Easy Tower,2455480257,6543421324,web.roblox.com/games/6543421324,Adventure,Adventure,True,False,89,11606423,57144,
Shard Seekers,125773762,340416369,web.roblox.com/games/340416369,RPG,RPG,True,False,618,91121317,672484,
Build To Survive! SCARY,1430333379,4481606453,web.roblox.com/games/4481606453,Horror,Scary,True,False,66,19976656,38328,
Mocap Dancing,414394315,998604267,web.roblox.com/games/998604267,All,All,True,True,154,89209376,615072,
"{SHAGGY, +6 MORE} Monday Morning Misery [Beta]",2802559498,7205641391,web.roblox.com/games/7205641391,All,All,True,True,13162,25139554,216601,
Gun Roulette,2719296019,7056489901,web.roblox.com/games/7056489901,All,All,True,True,35,120683,3724,
Custom Piggy or BEAR,1946200599,5569973745,web.roblox.com/games/5569973745,Building,Tutorial,True,False,24,3025799,19003,
SCHOOL HISTORY,1129719952,3130178288,web.roblox.com/games/3130178288,Horror,Scary,True,False,10,5351394,92811,
TEST 들어오지마셈,2626398354,6884630351,web.roblox.com/games/6884630351,All,All,True,True,0,156,1,
FNaF World (Fnaf + Characters),114829462,297878929,web.roblox.com/games/297878929,RPG,RPG,True,False,0,980958,7883,
BEAR RP THE 1ST & 2ND COMBINED!,1706961054,4966206424,web.roblox.com/games/4966206424,All,All,True,True,16,1861746,9028,
Slime's Difficulty Chart Obby,1846519968,5272134329,web.roblox.com/games/5272134329,All,All,True,True,14,16807611,45492,
[read desc] Sans multiverse simulator [Test place],2556700834,6751168882,web.roblox.com/games/6751168882,All,All,True,True,6,797359,5124,
GET EATEN BY JAMES CHARLES 2 OBBY (SCARY) NEW NUKE,2296556200,6248365197,web.roblox.com/games/6248365197,All,All,True,True,85,3853798,17065,
Squid Game,2771724971,7148690739,web.roblox.com/games/7148690739,All,All,True,True,26,2160810,6533,
Blood Moon: The Tycoon [BETA],781822639,2249346496,web.roblox.com/games/2249346496,Fighting,Ninja,True,False,19,1501452,24408,
Sword Minigames,2646026931,6921369879,web.roblox.com/games/6921369879,All,All,True,True,10,149869,728,
Life in Paradise,634725174,1662219031,web.roblox.com/games/1662219031,Town and City,TownAndCity,False,False,133,65072353,208620,
"Kopis Gun Club, Montana, USA",2242323254,6143942627,web.roblox.com/games/6143942627,Military,War,True,False,0,83489,4527,
🎃 Swim For Admin,218899260,555356744,web.roblox.com/games/555356744,All,All,True,True,18,13360332,83384,
The Joy of Creation: Free Roam (BETA),2533925694,6709771081,web.roblox.com/games/6709771081,Horror,Scary,True,False,0,19061,515,
[HALLOWEEN MAKEOVER] Hood Fighting : Rewritten,2254546340,6166984478,web.roblox.com/games/6166984478,Fighting,Ninja,True,False,41,1350603,14684,
2 Player Daycare Tycoon,1637721508,4831399966,web.roblox.com/games/4831399966,All,All,True,True,28,3651297,11650,
(new event!)Undertale Lost Universe,2235213221,6130764575,web.roblox.com/games/6130764575,All,All,True,True,0,162357,1014,
[READ DESC] Sonic Onset Adventure,2023073191,5711810322,web.roblox.com/games/5711810322,Adventure,Adventure,True,False,365,19401651,78345,
TOS - The Main Line,1870439848,5340538646,web.roblox.com/games/5340538646,All,All,True,True,69,3542587,18061,
Sussy Imposter land,2662771720,6951756797,web.roblox.com/games/6951756797,Comedy,Funny,True,False,37,3199165,52510,
Kaiju Kewl,1805200399,5176436372,web.roblox.com/games/5176436372,All,All,True,True,205,23671727,61679,
INDONESIA Plane (New Update!),2768710672,7143360944,web.roblox.com/games/7143360944,All,All,True,True,0,1430,6,
Taxi Simulator (Brick Cars Edition),90811408,192083765,web.roblox.com/games/192083765,Town and City,TownAndCity,True,False,0,4961823,59997,
*REBIRTH 5* Deep Space Tycoon V2.25,348334032,841531820,web.roblox.com/games/841531820,Sci-Fi,SciFi,False,False,107,25577569,387880,
[NEW GUI LOOK!] Trolling GUI Script Fighting,1424992212,4470259111,web.roblox.com/games/4470259111,All,All,True,True,5,3515469,37269,
[PREFLOOD] Dragon's Nest,1960257495,5604438348,web.roblox.com/games/5604438348,All,All,True,True,0,73456,134,
JoJo's Bizarre Story,783722455,2257200513,web.roblox.com/games/2257200513,Fighting,Ninja,True,False,1,1052036,17773,
Dream house / home,30321179,60013360,web.roblox.com/games/60013360,All,All,True,True,1,1939495,18439,
[ Content Deleted ],2854300193,7313464492,web.roblox.com/games/7313464492,All,All,True,True,0,116069,989,
[UPDATE!] Frontline: The Great War,769993255,2208402451,web.roblox.com/games/2208402451,Military,War,True,False,2,4647674,48638,
Tech Company Simulator,709404838,2005282304,web.roblox.com/games/2005282304,All,All,True,True,13,3973681,67959,
Easy FPS!,2537990312,6717202874,web.roblox.com/games/6717202874,All,All,True,True,303,15145152,15571,
Mudding!,2388306090,6418900654,web.roblox.com/games/6418900654,All,All,True,True,0,28269,293,
🍟Fat Simulator🍕 (Super Get Fat Eat Big Food Sim),472393903,1149154510,web.roblox.com/games/1149154510,All,All,True,True,21,8158845,47971,
Wizard Tycoon - Single Player,157625014,416231150,web.roblox.com/games/416231150,Medieval,Fantasy,True,False,44,8901850,70796,
Gacha Life Roleplay!,83370821,174866636,web.roblox.com/games/174866636,All,All,True,True,83,42091122,210065,
Speed Run 4 Classic,107324231,264431831,web.roblox.com/games/264431831,All,All,True,True,376,156098217,1460566,
"Forte Menerva, Monferrato",2911019848,7475192848,web.roblox.com/games/7475192848,All,All,True,True,0,117,1,
pushing simulator,1198663082,3339793570,web.roblox.com/games/3339793570,Comedy,Funny,True,False,50,58384130,193860,
Super Doomspire BrickBattle! (NEW ITEMS!),2292721068,6240755301,web.roblox.com/games/6240755301,All,All,True,True,0,1173215,1852,
Glass Game (BETA 6.4),2941855152,7572177438,web.roblox.com/games/7572177438,All,All,True,True,0,46,4,
"THINK, MARK",2590387223,6817768330,web.roblox.com/games/6817768330,All,All,True,True,0,487905,22091,
🎃🎃 Car Crash Simulator 🎃🎃,75213856,156149963,web.roblox.com/games/156149963,Comedy,Funny,True,False,421,58501666,390873,
Shards of Power [Gold],966306849,2680163921,web.roblox.com/games/2680163921,All,All,True,True,7,3431173,40695,
Spidella Raid [EARLY ALPHA] HALLOWEEN!,2932221919,7542194528,web.roblox.com/games/7542194528,Horror,Scary,True,False,0,35500,867,
VESZTESEG,2502698977,6655413959,web.roblox.com/games/6655413959,All,All,True,True,6,1245978,6407,
[🥥] STICK FIGURE SANDBOX,797944365,2293712847,web.roblox.com/games/2293712847,Adventure,Adventure,True,False,168,37602199,264335,
Solaris Zone,2912889393,7480888007,web.roblox.com/games/7480888007,All,All,True,True,0,2790,4,
Age Of Conquest empty world,2094934577,5870354370,web.roblox.com/games/5870354370,Military,War,True,False,5,560747,2625,
Decaying Winter,2934974644,7551121821,web.roblox.com/games/7551121821,FPS,FPS,True,False,2468,5241822,72100,
Lab Experiment...,2933663925,7546785447,web.roblox.com/games/7546785447,All,All,True,True,0,397,3,
[UPDATE] Obby For Rubox,2824382654,7246488599,web.roblox.com/games/7246488599,All,All,True,True,22,52480,149,
2 Player Police Tycoon! [NEW],1466280130,4544023147,web.roblox.com/games/4544023147,All,All,True,True,87,29351953,95157,
FE2CM,766421186,2198503790,web.roblox.com/games/2198503790,All,All,True,True,138,25621953,94993,
Space [STORY] 🚀,1711811255,4976274504,web.roblox.com/games/4976274504,Horror,Scary,True,False,45,24858180,130529,
Hide n Seek Ultimate,883141306,2499334770,web.roblox.com/games/2499334770,All,All,True,True,85,23500796,256175,
Air Force Simulator 💥,1763453627,5089839214,web.roblox.com/games/5089839214,All,All,True,True,66,5662562,74626,
[Update] Avengers Endgame Tycoon,1149117256,3182484049,web.roblox.com/games/3182484049,Fighting,Ninja,True,False,6,3606867,8986,
Kick a Noob Down The Well,38314825,84913995,web.roblox.com/games/84913995,All,All,True,True,0,1218362,11080,
Shopping Simulator🛍,1388258132,4271116169,web.roblox.com/games/4271116169,All,All,True,True,21,6653744,68320,
Mega Parkour Obby 💥 475 Stages!,108307286,269097407,web.roblox.com/games/269097407,Adventure,Adventure,True,False,294,10628985,11288,
Crash Town Game Thing,2874222004,7371829073,web.roblox.com/games/7371829073,All,All,True,True,31,57247,958,
🔥3X STATS🔥 Super Evolution [BETA],2331157949,6312753269,web.roblox.com/games/6312753269,Adventure,Adventure,True,False,1334,36351586,243392,
[Sale] Formale Homestore,1547873318,4680094960,web.roblox.com/games/4680094960,All,All,True,True,0,4586,103,
BlockParty 🎉 - Color Game,1130048556,3131210366,web.roblox.com/games/3131210366,All,All,True,True,124,120689201,299099,
(NEW!) Crazy Worlds Obby! (READ DESC),466365486,1132464288,web.roblox.com/games/1132464288,Adventure,Adventure,True,False,416,150288270,256805,
The Petting Room (Lighting Updates!),2513905635,6675127933,web.roblox.com/games/6675127933,All,All,False,True,65,579647,9847,
[BETA] Slendytubbies ROBLOX | REMAKE,2704156643,7028593106,web.roblox.com/games/7028593106,Horror,Scary,True,False,0,388,22,
칼라똥 타워 (할로윈),2920785899,7504783635,web.roblox.com/games/7504783635,All,All,True,True,1,3503,67,
FutureTech Hotels V2 w/ a shopping centre,2547558383,6734442110,web.roblox.com/games/6734442110,All,All,False,True,0,6066,75,
The Circus in The Sky! Halloween Trick-or-Treat!,70985714,150470833,web.roblox.com/games/150470833,Town and City,TownAndCity,True,False,1,5059039,89967,
よくわかんないげーむ,2778540018,7161172390,web.roblox.com/games/7161172390,All,All,True,True,0,1165,2,
✨تجمع المشاهير ✨,2633673272,6898348435,web.roblox.com/games/6898348435,All,All,True,True,27,1864603,3997,
Drive a CAR down a HUGE slide! (3 SEATS),1427515968,4475373749,web.roblox.com/games/4475373749,All,All,False,True,9,231616,515,
Classic Sonic Simulator V10 [Open Testing],1057302724,2925613126,web.roblox.com/games/2925613126,All,All,True,True,252,7401367,31695,
Shindo Life 2,2309204164,6268835163,web.roblox.com/games/6268835163,All,All,True,True,1,180937,867,
[🔥X5!] 💪 Big Lifting Simulator 2,1998039239,5668883750,web.roblox.com/games/5668883750,All,All,True,True,104,16962778,71403,
[NEW SKIN] Souls Combat,1648044233,4849736274,web.roblox.com/games/4849736274,Fighting,Ninja,True,False,290,14496669,61055,
Pizza Party Place (PPP),154905276,409978601,web.roblox.com/games/409978601,Town and City,TownAndCity,True,False,0,18457,51,
TWOTE [Beta],2743970496,7098972428,web.roblox.com/games/7098972428,All,All,True,True,2,17178,661,
Lumber Tycoon 2  [Winter],2118986432,5912024314,web.roblox.com/games/5912024314,All,All,True,True,0,11887,67,
Baldi Basics Obby Parkour!,1769581248,5103929914,web.roblox.com/games/5103929914,All,All,True,True,43,11066286,12025,
Kwun Tong City 觀塘市,565357251,1420483976,web.roblox.com/games/1420483976,All,All,True,True,1,820050,4697,
Tornado Alley,2335779521,6321377447,web.roblox.com/games/6321377447,All,All,True,True,0,94144,255,
[UPDATE 4] Multiplier Simulator,1677435736,4906056670,web.roblox.com/games/4906056670,All,All,True,True,3,352834,2587,
TEACHER,400302937,961786256,web.roblox.com/games/961786256,All,All,True,True,0,12688,71,
🤕 Granny Obby!  OBBY OBBY OBBY OBBY OBBY OBBY OBB,682206047,1871715144,web.roblox.com/games/1871715144,Adventure,Adventure,True,False,0,459271,706,
The Library,1180345790,3273210185,web.roblox.com/games/3273210185,Horror,Scary,True,False,14,4027519,81811,
로블록스 전승부대. V1.7,2811241921,7221812453,web.roblox.com/games/7221812453,Military,War,True,False,0,4678,22,
Car Crash Test,1528997325,4643061038,web.roblox.com/games/4643061038,All,All,True,True,207,3869507,33166,
