cursor,firstName,lastName,department,avgDifficulty,avgRating,numRatings,legacyId,link
YXJyYXljb25uZWN0aW9uOjE4ODA=,Dmitri,Koustov,Art & Design,4.7,2.5,6,2393574,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2393574
YXJyYXljb25uZWN0aW9uOjE4ODE=,Ehsan,Rohani,Engineering,5,3,2,2394193,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2394193
YXJyYXljb25uZWN0aW9uOjE4ODI=,Matthew,Wester,Philosophy,4.8,2.7,7,2394275,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2394275
YXJyYXljb25uZWN0aW9uOjE4ODM=,Jay,Johnson,Engineering,4.2,3,5,2394756,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2394756
YXJyYXljb25uZWN0aW9uOjE4ODQ=,Carly,Sloan,Economics,5,3,1,2395550,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2395550
YXJyYXljb25uZWN0aW9uOjE4ODU=,Joanna,Pedro,Chemistry,0,0,0,2396122,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2396122
YXJyYXljb25uZWN0aW9uOjE4ODY=,Aaron,Marvel,Psychology,5,1,1,2396778,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2396778
YXJyYXljb25uZWN0aW9uOjE4ODc=,Bruce,Tai,Mechanical Engineering,4,3.5,2,2396882,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2396882
YXJyYXljb25uZWN0aW9uOjE4ODg=,Bekah,Harvick,Accounting,5,3.5,2,2399209,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2399209
YXJyYXljb25uZWN0aW9uOjE4ODk=,Neil,Sanger,Meteorology,5,1.5,2,2399314,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2399314
YXJyYXljb25uZWN0aW9uOjE4OTA=,Lobat,Asadi,Sociology,4.5,2,2,2399327,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2399327
YXJyYXljb25uZWN0aW9uOjE4OTE=,Sharon,Wagner,Agriculture,1.3,3.8,9,2399390,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2399390
YXJyYXljb25uZWN0aW9uOjE4OTI=,Rose,Santos,Accounting,1,5,1,2399786,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2399786
YXJyYXljb25uZWN0aW9uOjE4OTM=,Arnad,Maity,Statistics,4,3,1,2400175,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2400175
YXJyYXljb25uZWN0aW9uOjE4OTQ=,Neil,Sanger,Atmospheric Sciences,4.8,2.5,73,2400506,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2400506
YXJyYXljb25uZWN0aW9uOjE4OTU=,Ana,Diaz Artiles,Engineering,0,0,0,2400598,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2400598
YXJyYXljb25uZWN0aW9uOjE4OTY=,Akintayo,Akinleye,Biology,5,2.8,7,2400736,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2400736
YXJyYXljb25uZWN0aW9uOjE4OTc=,Jukrin,Moon,Engineering,5,1.5,2,2400870,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2400870
YXJyYXljb25uZWN0aW9uOjE4OTg=,Zixiang,Xiong,Engineering,1,5,1,2401246,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2401246
YXJyYXljb25uZWN0aW9uOjE4OTk=,Nazmul,Karim,Chemical Engineering,0,0,0,2402061,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2402061
YXJyYXljb25uZWN0aW9uOjE5MDA=,Yvonna,Lincoln,Education Administration,0,0,0,2402199,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2402199
YXJyYXljb25uZWN0aW9uOjE5MDE=,Eller,Michael,Chemistry,3.4,3.9,7,2402726,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2402726
YXJyYXljb25uZWN0aW9uOjE5MDI=,Rosemary,Walzem,Agriculture,1.5,3,2,2402784,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2402784
YXJyYXljb25uZWN0aW9uOjE5MDM=,George,Wright,History,4.7,3.1,15,2402976,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2402976
YXJyYXljb25uZWN0aW9uOjE5MDQ=,Kati,Stoddard,Ecosystem Science & Management,2.5,1,2,2403058,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2403058
YXJyYXljb25uZWN0aW9uOjE5MDU=,Mukulika,Ghosh,Computer Science,2.3,3.7,3,2403406,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2403406
YXJyYXljb25uZWN0aW9uOjE5MDY=,Riddhi,Ghosh,Statistics,1.2,3.5,11,2403444,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2403444
YXJyYXljb25uZWN0aW9uOjE5MDc=,Kari,Eifler,Mathematics,4.5,2.7,13,2404113,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2404113
YXJyYXljb25uZWN0aW9uOjE5MDg=,Amudhan,Krishnaswamy-Usha,Mathematics,4,3,1,2404271,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2404271
YXJyYXljb25uZWN0aW9uOjE5MDk=,Lei,Zou,Geography,0,0,0,2404759,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2404759
YXJyYXljb25uZWN0aW9uOjE5MTA=,Elise,Walker,Mathematics,3.5,3.5,2,2404923,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2404923
YXJyYXljb25uZWN0aW9uOjE5MTE=,Trevor,Williams,Atmospheric Sciences,4.2,2.4,5,2405538,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2405538
YXJyYXljb25uZWN0aW9uOjE5MTI=,Qiuhong,Zhao,Accounting,0,0,0,2406195,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2406195
YXJyYXljb25uZWN0aW9uOjE5MTM=,Christine,Shimek,Education,1.3,1.7,6,2407462,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2407462
YXJyYXljb25uZWN0aW9uOjE5MTQ=,Steven,Sykes,Biology,5,5,1,2407936,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2407936
YXJyYXljb25uZWN0aW9uOjE5MTU=,Lauren,Liebe,English,3.5,2.7,4,2409292,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2409292
YXJyYXljb25uZWN0aW9uOjE5MTY=,Bjorn,Birgisson,Civil Engineering,4.7,2.4,10,2409408,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2409408
YXJyYXljb25uZWN0aW9uOjE5MTc=,Hari,Sridhar,Marketing,0,0,0,2409654,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2409654
YXJyYXljb25uZWN0aW9uOjE5MTg=,Cynthia,Quin,Military Science,0,0,0,2409918,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2409918
YXJyYXljb25uZWN0aW9uOjE5MTk=,Rosemary,Dwight,Geography,1,4,1,2410818,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2410818
YXJyYXljb25uZWN0aW9uOjE5MjA=,Elba,Garza,Computer Science,2.4,3.5,10,2411362,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2411362
YXJyYXljb25uZWN0aW9uOjE5MjE=,Edward,Murguia,Sociology,0,0,0,2411487,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2411487
YXJyYXljb25uZWN0aW9uOjE5MjI=,Mary,Allison,Foreign Languages,5,3,2,2412171,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2412171
YXJyYXljb25uZWN0aW9uOjE5MjM=,Chaztin,Stigers,Education,3,2,1,2413358,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2413358
YXJyYXljb25uZWN0aW9uOjE5MjQ=,Debe,Shafer,"Recreation, Parks, & Tourism",5,3,5,2414015,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2414015
YXJyYXljb25uZWN0aW9uOjE5MjU=,Zachary,Perry,Chemistry,1,4,1,2415257,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2415257
YXJyYXljb25uZWN0aW9uOjE5MjY=,Steven,Labadessa,Architecture,2.7,5,3,2415268,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2415268
YXJyYXljb25uZWN0aW9uOjE5Mjc=,Shankar,Bhattacharyya,Engineering,5,3,2,2416064,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2416064
YXJyYXljb25uZWN0aW9uOjE5Mjg=,Justin,Moscarello,Psychology,3.6,3.4,5,2416425,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2416425
YXJyYXljb25uZWN0aW9uOjE5Mjk=,Luis,Torres,Business,1,4,2,2416639,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2416639
YXJyYXljb25uZWN0aW9uOjE5MzA=,John,Criscione,Biomedical,5,2,1,2416777,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2416777
YXJyYXljb25uZWN0aW9uOjE5MzE=,Ceyhun,Eksin,Engineering,2.3,3.3,3,2418382,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2418382
YXJyYXljb25uZWN0aW9uOjE5MzI=,Joe,Arosh,Biomedical,4,3,1,2418443,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2418443
YXJyYXljb25uZWN0aW9uOjE5MzM=,John,Sarao,Geology,2,4,1,2419306,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2419306
YXJyYXljb25uZWN0aW9uOjE5MzQ=,Sydney,Odoi,Spanish,5,1,1,2419332,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2419332
YXJyYXljb25uZWN0aW9uOjE5MzU=,Arnab,Maity,Statistics,2.3,3.3,3,2419838,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2419838
YXJyYXljb25uZWN0aW9uOjE5MzY=,David,Kerr,Mathematics,3.4,3.2,5,2420080,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2420080
YXJyYXljb25uZWN0aW9uOjE5Mzc=,Sara,Safari,Physical Education,2.8,2.5,4,2420110,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2420110
YXJyYXljb25uZWN0aW9uOjE5Mzg=,Zoe,Carney,Communication,3.3,3.1,12,2420241,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2420241
YXJyYXljb25uZWN0aW9uOjE5Mzk=,Brynn,Ruiz,Education Administration,5,1,1,2420315,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2420315
YXJyYXljb25uZWN0aW9uOjE5NDA=,Patrick,Ding,Statistics,2.7,4,4,2421247,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2421247
YXJyYXljb25uZWN0aW9uOjE5NDE=,Claude,Rosson,Agriculture,3.3,2.7,3,2421459,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2421459
YXJyYXljb25uZWN0aW9uOjE5NDI=,Tanya,Garcia,Statistics,3.3,3.7,3,2422325,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2422325
YXJyYXljb25uZWN0aW9uOjE5NDM=,Nicholas,Suntzeff,Astronomy,5,3,1,2423252,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2423252
YXJyYXljb25uZWN0aW9uOjE5NDQ=,Laura,Jones,Management,5,3,1,2423512,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2423512
YXJyYXljb25uZWN0aW9uOjE5NDU=,Dorothy,Todd,Communication,0,0,0,2424157,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2424157
YXJyYXljb25uZWN0aW9uOjE5NDY=,Kashif,Bari,Mathematics,5,2.5,2,2424184,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2424184
YXJyYXljb25uZWN0aW9uOjE5NDc=,Jessica,Howell,English,0,0,0,2424287,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2424287
YXJyYXljb25uZWN0aW9uOjE5NDg=,Evan,Boyce,Military Science,4.8,2,9,2424372,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2424372
YXJyYXljb25uZWN0aW9uOjE5NDk=,Anna,Linderholm,Anthropology,3.3,3.7,3,2424706,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2424706
YXJyYXljb25uZWN0aW9uOjE5NTA=,Shuning,Huang,Biomedical,2.5,4.8,7,2424729,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2424729
YXJyYXljb25uZWN0aW9uOjE5NTE=,David,Scott,"Recreation, Parks, & Tourism",4.7,2,3,2425134,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2425134
YXJyYXljb25uZWN0aW9uOjE5NTI=,Nick,Barta,Engineering,4.3,4,3,2425267,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2425267
YXJyYXljb25uZWN0aW9uOjE5NTM=,Trevor,Hale,Business,0,0,0,2425292,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2425292
YXJyYXljb25uZWN0aW9uOjE5NTQ=,Amilcar,Flores,Literature,5,2,2,2425761,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2425761
YXJyYXljb25uZWN0aW9uOjE5NTU=,Yangyang,Xu,Atmospheric Sciences,4,2,1,2425903,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2425903
YXJyYXljb25uZWN0aW9uOjE5NTY=,Maryam,Zahabi,Engineering,4,3,1,2426230,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2426230
YXJyYXljb25uZWN0aW9uOjE5NTc=,Somi,Ahn,English,0,0,0,2426539,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2426539
YXJyYXljb25uZWN0aW9uOjE5NTg=,Joshua,Powell,Chemistry,2,4,1,2426635,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2426635
YXJyYXljb25uZWN0aW9uOjE5NTk=,Kathryn,Bailey,Anthropology,5,1.5,2,2426889,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2426889
YXJyYXljb25uZWN0aW9uOjE5NjA=,Ana,Velazquez,Agronomy,2.5,4,2,2427474,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2427474
YXJyYXljb25uZWN0aW9uOjE5NjE=,Kyung-Lin,Bae,English,5,3,3,2427602,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2427602
YXJyYXljb25uZWN0aW9uOjE5NjI=,Angela,Montez,English,4,4,1,2427879,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2427879
YXJyYXljb25uZWN0aW9uOjE5NjM=,Joseph,Ward,Mathematics,1,4.5,2,2427954,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2427954
YXJyYXljb25uZWN0aW9uOjE5NjQ=,Andrew,Tripp,Architecture,3.7,3.7,3,2428064,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2428064
YXJyYXljb25uZWN0aW9uOjE5NjU=,Peter,Jantsch,Mathematics,4.4,2.8,8,2428848,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2428848
YXJyYXljb25uZWN0aW9uOjE5NjY=,Rakesh,Mallipeddi,Information Science,0,0,0,2429007,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2429007
YXJyYXljb25uZWN0aW9uOjE5Njc=,Randy,Lund,Agriculture,5,2,2,2429395,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2429395
YXJyYXljb25uZWN0aW9uOjE5Njg=,Douglas,Bell,History,4,3.3,4,2429471,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2429471
YXJyYXljb25uZWN0aW9uOjE5Njk=,Vidya,Patil,Agriculture,0,0,0,2429603,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2429603
YXJyYXljb25uZWN0aW9uOjE5NzA=,Sarah,LeMire,English,5,2.6,7,2429840,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2429840
YXJyYXljb25uZWN0aW9uOjE5NzE=,Wendy,McDonald,Education,5,4,1,2429999,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2429999
YXJyYXljb25uZWN0aW9uOjE5NzI=,Savannah,Foreman,English,5,3,1,2430363,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2430363
YXJyYXljb25uZWN0aW9uOjE5NzM=,Turkia,Arfaoui,Foreign Languages,5,2,3,2430502,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2430502
YXJyYXljb25uZWN0aW9uOjE5NzQ=,Paul,Schwab,Soils,5,2,1,2430602,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2430602
YXJyYXljb25uZWN0aW9uOjE5NzU=,Randall,Birdwell,Construction,4.3,3,3,2430622,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2430622
YXJyYXljb25uZWN0aW9uOjE5NzY=,Jasmina,Kuenzli,English,5,2,1,2430973,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2430973
YXJyYXljb25uZWN0aW9uOjE5Nzc=,Sara,Chung,English,5,2,2,2431097,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2431097
YXJyYXljb25uZWN0aW9uOjE5Nzg=,Nasnoor Samba,Nasiruddin,Physical Education,5,1,1,2431179,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2431179
YXJyYXljb25uZWN0aW9uOjE5Nzk=,Joy,Semien,Architecture,4.8,1.8,4,2431269,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2431269
YXJyYXljb25uZWN0aW9uOjE5ODA=,Michael,Schuett,Recreation Parks amp Tourism,4.2,3.2,6,2431697,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2431697
YXJyYXljb25uZWN0aW9uOjE5ODE=,Zhipeng,Lu,Architecture,4,2,2,2431772,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2431772
YXJyYXljb25uZWN0aW9uOjE5ODI=,Chiraag,Mittal,Marketing,3,3,4,2431945,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2431945
YXJyYXljb25uZWN0aW9uOjE5ODM=,Sheagan,John,Mathematics,2.5,4.2,10,2432052,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2432052
YXJyYXljb25uZWN0aW9uOjE5ODQ=,Alexey,Zheltikov,Physics,1,3,1,2432799,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2432799
YXJyYXljb25uZWN0aW9uOjE5ODU=,Teri,Wenzel,Physical Education,0,0,0,2432943,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2432943
YXJyYXljb25uZWN0aW9uOjE5ODY=,Gregory,Johnson,Science,4,4.5,2,2433016,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2433016
YXJyYXljb25uZWN0aW9uOjE5ODc=,Pusheeshan,Sa,Chemistry,0,0,0,2433252,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2433252
YXJyYXljb25uZWN0aW9uOjE5ODg=,Debra,McKeown,Education,3,4.7,3,2433887,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2433887
YXJyYXljb25uZWN0aW9uOjE5ODk=,Jeffrey,Keese,Education,4.8,2,4,2433889,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2433889
YXJyYXljb25uZWN0aW9uOjE5OTA=,Lisa,Perrott,Education,0,0,0,2434883,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2434883
YXJyYXljb25uZWN0aW9uOjE5OTE=,Micheal,Hawkins,Education,5,2,1,2434903,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2434903
